일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가격
2011-01-07,-7.0,-10.6,-2.9,0.0,2.1,48.8,1538
2011-01-08,-3.6,-8.2,0.1,0.2,2.5,67.9,1538
2011-01-09,-7.0,-10.3,-0.3,0.0,4.1,52.6,1538
2011-01-10,-8.2,-11.8,-4.6,0.0,2.4,44.0,1543
2011-01-11,-5.4,-7.8,-2.7,1.9,2.5,70.3,1543
2011-01-12,-8.2,-11.1,-4.9,0.0,3.4,44.6,1543
2011-01-13,-5.9,-11.1,-0.6,0.0,1.8,47.0,1677
2011-01-14,-3.8,-6.9,0.3,1.1,3.4,59.1,1677
2011-01-15,-12.2,-15.7,-6.9,0.0,4.9,40.0,1677
2011-01-16,-14.5,-17.8,-10.7,0.0,3.4,45.4,1677
2011-01-17,-9.7,-14.1,-4.8,0.0,2.4,49.8,1677
2011-01-18,-6.7,-10.8,-2.7,0.0,2.2,48.9,1743
2011-01-19,-6.6,-10.0,-3.2,0.0,2.7,46.4,1743
2011-01-20,-8.2,-10.5,-4.7,0.0,2.7,43.6,1793
2011-01-21,-6.8,-9.7,-3.2,0.0,2.5,44.4,1793
2011-01-22,-4.3,-7.1,-0.8,0.4,2.5,59.8,1793
2011-01-23,-4.5,-7.1,-2.1,5.3,2.6,72.5,1793
2011-01-24,-8.8,-10.9,-5.8,0.0,3.1,60.8,1665
2011-01-25,-8.4,-11.9,-4.4,0.0,2.6,60.1,1722
2011-01-26,-8.5,-10.7,-5.2,0.0,3.2,51.5,1722
2011-01-27,-8.9,-11.5,-5.7,0.0,2.8,47.3,1665
2011-01-28,-7.9,-10.5,-4.3,0.0,2.8,43.3,1665
2011-01-29,-9.1,-11.5,-5.5,0.0,3.7,43.1,1665
2011-01-30,-10.1,-13.6,-5.7,0.0,3.7,43.5,1665
2011-01-31,-6.2,-12.7,-1.8,0.0,1.9,61.5,1942
