일시,가격
2011-02-22,2018
2011-02-23,1835
2011-02-24,1682
2011-02-25,1682
2011-02-26,1682
2011-02-27,1682
2011-02-28,1760
2011-03-01,1760
2011-03-02,1760
2011-03-03,1697
2011-03-04,1780
2011-03-05,1780
2011-03-06,1780
2011-03-07,1762
2011-03-08,1762
2011-03-09,1762
2011-03-10,1762
2011-03-11,1762
2011-03-12,1762
2011-03-13,1762
2011-03-14,1793
2011-03-15,1793
2011-03-16,1793
2011-03-17,1793
2011-03-18,1793
2011-03-19,1793
2011-03-20,1793
2011-03-21,1783
2011-03-22,1783
2011-03-23,1783
2011-03-24,1783
2011-03-25,1783
2011-03-26,1783
2011-03-27,1783
2011-03-28,1737
2011-03-29,1737
2011-03-30,1737
2011-03-31,1737
2011-04-01,1737
2011-04-02,1737
2011-04-03,1737
2011-04-04,1853
2011-04-05,1867
2011-04-06,1867
2011-04-07,1917
2011-04-08,1868
2011-04-09,1868
2011-04-10,1868
2011-04-11,1867
2011-04-12,1867
2011-04-13,1867
2011-04-14,1917
2011-04-15,1917
2011-04-16,1917
2011-04-17,1917
2011-04-18,2027
2011-04-19,2027
2011-04-20,2027
2011-04-21,1743
2011-04-22,1743
2011-04-23,1743
2011-04-24,1743
2011-04-25,1743
2011-04-26,1717
2011-04-27,1717
2011-04-28,1800
2011-04-29,1867
2011-04-30,1867
2011-05-01,1867
2011-05-02,1818
2011-05-03,1817
2011-05-04,1817
2011-05-05,1817
2011-05-06,1753
2011-05-07,1753
2011-05-08,1753
2011-05-09,1985
2011-05-10,1985
2011-05-11,1985
2011-05-12,2085
2011-05-13,2085
2011-05-14,2085
2011-05-15,2085
2011-05-16,2125
2011-05-17,2125
2011-05-18,2188
2011-05-19,2105
2011-05-20,2055
2011-05-21,2055
2011-05-22,2055
2011-05-23,2075
2011-05-24,1925
2011-05-25,1925
2011-05-26,2075
2011-05-27,2142
2011-05-28,2142
2011-05-29,2142
2011-05-30,2287
2011-05-31,2275
2011-06-01,2242
2011-06-02,2308
2011-06-03,2375
2011-06-04,2375
2011-06-05,2375
2011-06-06,2375
2011-06-07,2317
2011-06-08,2317
2011-06-09,2317
2011-06-10,2333
2011-06-11,2333
2011-06-12,2333
2011-06-13,2338
2011-06-14,2333
2011-06-15,2408
2011-06-16,2333
2011-06-17,2338
2011-06-18,2338
2011-06-19,2338
2011-06-20,2355
2011-06-21,2355
